Ring,Dump,Azimuth,Burden,Holes,SampleHole,Diameters,Drill,Total Drill,Charge,Configuration,Ungassed Charge Length,Primers,Explosive Amount,Position,PositionX,PositionY,PositionZ,Drawbell,LookDirection,Comments,Rig,Drill Factor
S1,0.00,29.1406,0.500 : S2,6,,76 mm,96.2670,96.2670,0.0000,100 4W CUT3 LHS 7MB SLOT,0.0000,0,0.0000,{7111.1413:-23441.6046:-1048.5891},7111.1413,-23441.6046,-1048.5891,False,NORTH,,SIMBA S7-D SOUTH DEEPS,0.0000
S2,0.00,29.1406,0.250 : S3,6,,"76 mm, 152 mm",87.5030,184.7030,0.0000,100 4W CUT3 LHS 7MB SLOT,0.0000,0,0.0000,{7110.8978:-23442.0413:-1048.5891},7110.8978,-23442.0413,-1048.5891,False,NORTH,,SIMBA S7-D SOUTH DEEPS,0.0000
S3,0.00,29.1406,0.250 : S4,4,,76 mm,64.8007,64.8007,0.0000,100 4W CUT3 LHS 7MB SLOT,0.0000,0,0.0000,{7110.7761:-23442.2596:-1048.5891},7110.7761,-23442.2596,-1048.5891,False,NORTH,,SIMBA S7-D SOUTH DEEPS,0.0000
S4,0.00,29.1406,0.250 : S5,5,,"76 mm, 152 mm",81.3825,179.0352,0.0000,100 4W CUT3 LHS 7MB SLOT,0.0000,0,0.0000,{7110.6544:-23442.4780:-1048.5891},7110.6544,-23442.4780,-1048.5891,False,NORTH,,SIMBA S7-D SOUTH DEEPS,0.0000
S5,0.00,29.1406,0.250 : S6,5,,76 mm,82.1907,82.1907,0.0000,100 4W CUT3 LHS 7MB SLOT,0.0000,0,0.0000,{7110.5326:-23442.6963:-1048.5891},7110.5326,-23442.6963,-1048.5891,False,NORTH,,SIMBA S7-D SOUTH DEEPS,0.0000
S6,0.00,29.1406,0.500 : S7,6,,"76 mm, 152 mm",88.8168,188.1535,0.0000,100 4W CUT3 LHS 7MB SLOT,0.0000,0,0.0000,{7110.4109:-23442.9147:-1048.5891},7110.4109,-23442.9147,-1048.5891,False,NORTH,,SIMBA S7-D SOUTH DEEPS,0.0000
S7,0.00,29.1406,1.560 : S8,6,,76 mm,100.8606,100.8606,0.0000,100 4W CUT3 LHS 7MB SLOT,0.0000,0,0.0000,{7110.1674:-23443.3514:-1048.5891},7110.1674,-23443.3514,-1048.5891,False,NORTH,,SIMBA S7-D SOUTH DEEPS,0.0000
S8,0.00,27.0000,1.367 : S9,5,,76 mm,77.9464,77.9464,0.0000,100 4W CUT3 LHS 7MB SLOT,0.0000,0,0.0000,{7109.4077:-23444.7140:-1048.5891},7109.4077,-23444.7140,-1048.5891,False,NORTH,,SIMBA S7-D SOUTH DEEPS,0.0000
S9,0.00,27.0000,1.367 : S10,4,,76 mm,68.9062,68.9062,0.0000,100 4W CUT3 LHS 7MB SLOT,0.0000,0,0.0000,{7108.7422:-23445.9077:-1048.5891},7108.7422,-23445.9077,-1048.5891,False,NORTH,,SIMBA S7-D SOUTH DEEPS,0.0000
S10,0.00,27.0000,1.367 : S11,5,,76 mm,78.6770,78.6770,0.0000,100 4W CUT3 LHS 7MB SLOT,0.0000,0,0.0000,{7108.0507:-23447.0841:-1048.6374},7108.0507,-23447.0841,-1048.6374,False,NORTH,,SIMBA S7-D SOUTH DEEPS,0.0000
S11,0.00,27.0000,1.367 : S12,5,,76 mm,71.4457,71.4457,0.0000,100 4W CUT3 LHS 7MB SLOT,0.0000,0,0.0000,{7107.3332:-23448.2433:-1048.7340},7107.3332,-23448.2433,-1048.7340,False,NORTH,,SIMBA S7-D SOUTH DEEPS,0.0000
S12,0.00,27.0000,1.514 : S13,5,,76 mm,74.0251,74.0251,0.0000,100 4W CUT3 LHS 7MB SLOT,0.0000,0,0.0000,{7106.6157:-23449.4025:-1048.8305},7106.6157,-23449.4025,-1048.8305,False,NORTH,,SIMBA S7-D SOUTH DEEPS,0.0000
S13,0.00,27.9371,1.511 : S14,6,,76 mm,84.9369,84.9369,0.0000,100 4W CUT3 LHS 7MB SLOT,0.0000,0,0.0000,{7105.8207:-23450.6869:-1048.9376},7105.8207,-23450.6869,-1048.9376,False,NORTH,,SIMBA S7-D SOUTH DEEPS,0.0000
S14,0.00,207.9371,1.515 : S15,4,,76 mm,66.7539,66.7539,0.0000,100 4W CUT3 LHS 7MB SLOT,0.0000,0,0.0000,{7104.9786:-23451.9382:-1048.9579},7104.9786,-23451.9382,-1048.9579,False,SOUTH,,SIMBA S7-D SOUTH DEEPS,0.0000
S15,0.00,207.9371,1.515 : S16,6,,76 mm,76.4639,76.4639,0.0000,100 4W CUT3 LHS 7MB SLOT,0.0000,0,0.0000,{7104.0954:-23453.1677:-1048.9089},7104.0954,-23453.1677,-1048.9089,False,SOUTH,,SIMBA S7-D SOUTH DEEPS,0.0000
S16,0.00,207.9371,1.515 : S17,7,,76 mm,89.9198,89.9198,0.0000,100 4W CUT3 LHS 7MB SLOT,0.0000,0,0.0000,{7103.2123:-23454.3973:-1048.8599},7103.2123,-23454.3973,-1048.8599,False,SOUTH,,SIMBA S7-D SOUTH DEEPS,0.0000
S17,0.00,207.9371,1.515 : S18,6,,76 mm,81.7954,81.7954,0.0000,100 4W CUT3 LHS 7MB SLOT,0.0000,0,0.0000,{7102.3291:-23455.6268:-1048.8109},7102.3291,-23455.6268,-1048.8109,False,SOUTH,,SIMBA S7-D SOUTH DEEPS,0.0000
S18,0.00,207.9371,,7,,76 mm,93.4828,93.4828,0.0000,100 4W CUT3 LHS 7MB SLOT,0.0000,0,0.0000,{7101.4459:-23456.8563:-1048.7619},7101.4459,-23456.8563,-1048.7619,False,SOUTH,,SIMBA S7-D SOUTH DEEPS,0.0000

